商品型号,评论内容
静夜黑魅族16,Pro6用了两年半，存储容量实在撑不下去了每天在提醒，习惯Flyme系统觉得好用，终于出全面屏旗舰机等了一两个月才终于买到。几点吐槽》这次京东包装确实太简单了点，气泡膜包装，纸质外盒也不给。》听筒两边明显溢胶，后盖四个角缝隙可塞A4纸，这些工艺瑕疵也好设计问题也好，能接受。》相机&amp;屏幕相机总体颜色偏白，黄色路灯下拍的偏白，拍照没有想象中的好。前置关闭美颜依旧有美颜且偏白，很多细节都丢失了，~视频通话忽亮忽暗，经常过爆一片苍白，整个人边界都快看不见了。屏幕显示效果感觉也是偏白一点。不懂是不是我这台问题还是普遍问题。个人不喜欢这样的相机，希望后面系统更新有所改变。》指纹屏幕解锁可视效果很炫，手指过于干燥和潮湿识别率真的低，阳光下识别率也很低。几点喜欢》系统很好用，可能也是因为习惯了，悬浮球左右切换应用非常便捷。》手机很轻薄，大小持握刚好，赠送手机壳保证了持握手感，保护效果一般且不太划，半个月已经很花了。》电池优化还不错，轻度使用一天没问题。目前来看最不满意是~视频前置的问题，真的很差
静夜黑魅族16,没有比较就没有伤害。本来16th是魅族近年来的精华集大成者，骁龙845全面屏线性马达双外放屏下指纹三倍光变加flyme几乎完美，跑分290000+第一梯队，怎奈跟才买的note9放在一起立马露怯，一个屏幕就差了十万八千里，三的2K曲amoled额惊艳，外观上16TH跟S7edge勉强看齐，放在N8、N9旁边实在是泯然众人矣。使用一周，三大问题:通话1分钟以上信号漂移对方听不到声音，有否个体质量问题有待观察；屏下指纹偶尔识别异常但~指纹支付每次开启都失败，是~bug还是flyme不适配有待观察；光学变焦后无光学防抖。最后说一句：pro5，pro6我都是首发购买有VIP卡，这次原价拿下16TH真的是情怀，但情怀不足以维持忠诚度，小米和魅族这两年的新品确实存在市场边缘化趁势，创新不足，品控堪优。
静夜黑魅族16,手机盒比pro6plus薄很多。手机性能没的说，跑分29万。手机打王者荣耀发热不是很明显。屏幕指纹解锁速度还可以，支持指纹支付，配合面部解锁基本秒开。息屏显示比pro6p的样式多很多。电量续航不是很差。3小时王者掉电23%。全面屏手势很好用，我大概适应不到1小时就流畅使用。手机震感的确很舒服。上下双扬声器立体声特别爽，吃鸡的确可以不带耳机，声音大很多，音质也很好。后壳特别容易粘指纹，基本要必须带壳，送的手机壳比较人性化，把边缘留出来，握持手感很好，防不防摔不知道了，买16千万记得去魅族钱包里买个碎屏保（其他保险修手机屏可能不是原装，魅族的买129）。比较幸运抢到第一批魅族16，希望煤油可以尽快买到吧!
静夜黑魅族16,手机给我一个惊喜，京东也给我一个惊喜（说是20号以后才有货，结果16号不声不响的就送过来啦?）。怎么说那，通过这2天的使用，我觉得那个不将就'用心打磨细节的魅族又回来啦。不追潮流、不做表面文章，在满是刘海的世界里带来一股清流，处理器的短板也补上啦。手感是真好，屏幕也不错，那个夜间显示模式挺好，mEngine线性振动马达打字真的很爽啊。屏下指纹手潮确实不容易解开，脸部解锁晚上环境暗时屏幕亮度要调到手动的一半以上，不然也很难解开。我都是全打开，能用哪个用哪个。速度我并不在乎快慢那0点几秒。相机得益于底子硬件好，我觉得水平应该在国产机第一梯队吧。三倍无损变焦，夜间成像不错，连拍只有在默认拍照选项下才可以用，没有NFC和红外也许是一点点小遗憾，电池中度使用一天没问题。快充一小时80%多，外放声音真的很好，继续保留3.5耳机接口非常好。总之16还是我喜欢的那个魅族。希望魅族继续开发出更好的产品。
远山白魅族16,手持用了三年多的pro5为入手两天的16评价，抢到了我都觉得不可思议，哈哈，看了发布会就很心动，12点准时开抢，满足了。说说感受，用习惯了系统，不想考虑其他的，pro5更新完系统依旧很有活力，用的很持久，刚入手的16，颜值高，特别流畅，玩游戏无压力，启动贼快，也很稳定，摄像头很不错，扫码贼快，哈哈，感觉自己还没拿稳手机，已经扫描出结果了，至于待机问题，没有那么夸张，玩两个多小时王者，掉12个电，可以接受。总之很满意，希望可以陪伴我几年，信赖魅族！
远山白魅族16 PLUS,第一次用魅族，看了发布会感觉很6，希望不会让我失望哈，很幸运，00.58秒抢到了一台。刚开封，具体使用感受，等我试下充电速度，放放音乐，玩玩游戏回头再来追评。机子现在的感觉，轻，薄，手感很好。
静夜黑魅族16 PLUS,这是我第一次用魅族的手机，主要看到网络上有太多对魅族16th这款手机的好评文章，使得我心痒难耐，十分期望购买一部来体验。在京东下单了两次，第一次在第三方店铺下单，便宜200元，但需要等一个星期。时间太久，等不了，申请退款后在魅族官方旗舰店下单购买。发货速度杠杠的，第一天中午下单，第二天上午小哥就送上门了。说一说手机体验吧，首先是拍照效果我认为超出了预期，第一张相片就是用人像模式拍的，没做任何后期美颜，出来的主题清晰，背景虚化自然，同时色彩既不会过于艳丽，也不会过于清淡，照片视觉效果很养眼。音质方面，虽然魅族是做mp3出生的，其他魅族手机我并不清楚，但16th的音质只能说马马虎虎，声音足够大，但低音及中音解析不够，低音方面尤其糟糕，对比了iPhone7自己iPhone8puls，这两款手机目前在自用，iphone出来的音乐音质确实更高一筹。如果对于手机外放音质要求比较高的同学，要有心理预期，不过总体还是不错的。系统方面嘛，整体是比较流畅的，但比较恼人的就是几乎打开每个APP都有几秒的~，相同的APP，iphone是没有任何~的，这一点我觉得魅族官方应该优化一下，十分影响体验。
极光蓝魅族16,前面刚买了个mate10，比这个还便宜100块，重要的是华为不用抢。配置都是6+128。华为的宽一些。魅族的薄一些。魅族的外观更漂亮手感更好。华为的相机软件更好玩。魅族的马达完虐华为的马达。华为是前置物理指纹解锁速度快于魅族。上传的视频不做解释。
静夜黑魅族16,第一次抢到自己想要的东西，手感好级了，优点性能就不说了，网上评测都有介绍，手上用了3年零8个月MX4 pro终于可以退休了，其实MX4 pro还能正常用，就是卡顿严重了，开个App要等好一会。希望各位魅友早日上手
静夜黑魅族16,这应该是五年来我买过的30部手机中设计最优雅的一款了，今晚上夜跑试了一下相机，成像锐利，色彩精准，畸变控制无可挑剔，夜拍惊人，已经接近全画幅单反的效果，这手机必然成精！
